Subject,Start Date,End Date,Description,Location,HighAttendanceFlag
"令和7年度北海道高等学校文化連盟
第59回全道高等学校書道展・研究大会～釧根大会～",2025-10-15,2025-10-17,"全道 芸術・文化
北海道高等学校文化連盟・北海道教育委員会
北海道釧路明輝高等学校
電話：0154-36-5001
参集人員: 最新: 1220人","釧路市観光国際交流センター、
コーチャンフォー釧路文化ホール",Yes
"全国公立病院連盟「第９４回総会・事務長会・看護部長会合同会
議」",2025-10-15,2025-10-17,"全国 総会・大会
全国公立病院連盟
全国公立病院連盟
電話：0154-41-6121
参集人員: 最新: 150人",釧路プリンスホテル,No
第4回Nittaku杯 全国ラージタンチョウオープン,2025-10-18,,"全道 スポーツ
釧路卓球協会
釧路卓球協会 守田 和央
電話：090-1309-6159
参集人員: 最新: 400人",ウィンドヒルくしろスーパーアリーナ,No
国際ロータリー第2500地区 2025-2026年度 地区大会,2025-10-24,2025-10-25,"地区 総会・大会
国際ロータリー第2500地区 佐渡ガバナー事務所
大会実行委員長 小野寺 英夫
電話：0154-65-1841
参集人員: 最新: 1000人",釧路市観光国際交流センター,Yes
"一般財団法人北海道水泳連盟公認水泳競技大会第40回道東選手
権水泳競技大会",2025-10-26,,"全道 スポーツ
釧路水泳協会
釧路水泳協会
電話：0154-41-6665
参集人員: 最新: 180人",釧路市鳥取温水プール,No
第72回北海道学校保健・安全研究大会 釧路大会,2025-10-26,,"全道 学会
北海道教育委員会
北海道教育委員会
電話：011-231-4111
参集人員: 最新: 150人","釧路市生涯学習センター（まなぼっ
と幣舞）",No
日本測地学会講演会,2025-10-29,2025-10-31,"全国 学会
日本測地学会事務局
日本測地学会事務局
電話：03-5684-3358
参集人員: 最新: 200人",釧路市観光国際交流センター,No
"ジュニアウインターカップ2025－2026 第6回U15バスケットボール
選手権大会 北海道予選会",2025-11-02,2025-11-03,"全道 スポーツ
北海道バスケットボール協会
釧路地区バスケットボール協会 村木 雅徳
電話：090-3118-7962
参集人員: 最新: 350人",ウインドヒル釧路スーパーアリーナ,No
第72回北海道小学校理科研究大会釧路大会,2025-11-07,,"全道 学会
北海道小学校理科研究会
釧路市立昭和小学校
電話：0154-52-1216
参集人員: 最新: 100人",釧路市立鶴野小学校,No
令和7年度 ラムサール条約登録湿地関係市町村長会議,2025-11-06,2025-11-07,"全国 総会・大会
ラムサール条約登録湿地関係市町村会議
釧路市市民環境部環境保全課自然保護担当
電話：0154-31-4594
参集人員: 最新: 65人",未定,No
2025/26全日本選抜スピードスケート競技会 第2戦 釧路大会,2025-11-22,,"全国 スポーツ
（公財）日本スケート連盟
釧路スケート連盟 菊池 浩行
電話：090-9082-9101
参集人員: 最新: 130人",釧路市柳町スピードスケート場,No
第40回道東選手権水泳競技大会,2025-11-23,,"全道 スポーツ
釧路水泳協会
釧路水泳協会
電話：0154-41-6665
参集人員: 最新: 220人",釧路市鳥取温水プール,No
第48回釧路市小学校管楽演奏発表会,2025-11-29,,"地区 芸術・文化
釧路市小学校管楽器研究会
釧路市立大楽毛小学校
電話：0154-57-8014
参集人員: 最新: 870人",コーチャンフォー釧路文化ホール,No
湿原の風フットサル大会,2025年11月（予定）,,"地区 スポーツ
釧路フットサル連盟
釧路フットサル連盟
電話：090-6448-7081
参集人員: 最新: 100人",ウインドヒルくしろスーパーアリーナ,No
授業力向上セミナー,2025-12-10,2025-12-12,"全国 総会・大会
北海道教育大学付属釧路義務教育学校
北海道教育大学附属釧路義務教育学校前期課程
参集人員: 最新: 200人","北海道教育大学付属釧路義務教育
学校",No
"第78回北海道高等学校スケート競技会・第77回北海道体育大会ス
ケート競技会・第80回国民スポーツ大会スケート競技会北海道予
選会",2025-12-15,,"全道 スポーツ
公財）日本スポーツ協会・公財）北海道スポーツ協会
・北海道高等学校体育連盟・一財）北海道スケート
連盟
公財）日本スポーツ協会・公財）北海道スポーツ協
会・北海道高等学校体育連盟・一財）北海道ス
ケート連盟
参集人員: 最新: 120人
※仮日付（上旬=5日、中旬=15日、下旬=25日で設定）",釧路市柳町スピードスケート場,No
FIS公認第38回ゴールドウインカップ阿寒スラローム大会,2025-12-25,,"国際 スポーツ
（公財）北海道スキー連盟
阿寒湖温泉冬季スポーツ大会実行委員会事務局
電話：67-3200
参集人員: 最新: 230人
※仮日付（上旬=5日、中旬=15日、下旬=25日で設定）",国設阿寒湖畔スキー場,No
FIS公認第7回フィッシャーカップ阿寒スラローム大会(NJR),2025-12-25,,"国際 スポーツ
（公財）北海道スキー連盟
阿寒湖温泉冬季スポーツ大会実行委員会事務局
電話：67-3200
参集人員: 最新: 230人
※仮日付（上旬=5日、中旬=15日、下旬=25日で設定）",国設阿寒湖畔スキー場,No
FIS公認第10回セコマカップ阿寒スラローム大会(NJR),2025-12-25,,"国際 スポーツ
（公財）北海道スキー連盟
阿寒湖温泉冬季スポーツ大会実行委員会事務局
電話：67-3200
参集人員: 最新: 230人
※仮日付（上旬=5日、中旬=15日、下旬=25日で設定）",国設阿寒湖畔スキー場,No
第70回 阿寒スピードスケート選手権大会,2025-12-25,,"全道 スポーツ
（一財）北海道スケート連盟・釧路市・
阿寒湖温泉冬季スポーツ大会実行委員会
阿寒湖温泉冬季スポーツ大会実行委員会事務局
電話：67-3200
参集人員: 最新: 150人
※仮日付（上旬=5日、中旬=15日、下旬=25日で設定）",阿寒湖畔スケートリンク,No
第48回 北海道スポーツ少年団スピードスケート競技大会,2026-01-25,,"全道 スポーツ
(公財)北海道スポーツ協会・北海道スポーツ少年
団・
（一財）北海道スケート連盟・北海道新聞社
阿寒湖温泉冬季スポーツ大会実行委員会事務局
電話：67-3200
参集人員: 最新: 200人
※仮日付（上旬=5日、中旬=15日、下旬=25日で設定）",阿寒湖畔スケートリンク,No
2026北海道たんちょう杯ソフトテニス大会,2026-02-14,2026-02-15,"全道 スポーツ
釧路ソフトテニス大会
釧路ソフトテニス協会
電話：090-8709-7989
参集人員: 最新: 100人",ウインドヒル釧路スーパーアリーナ,No
第62回北海道高等学校インドアソフトテニス選手権大会,2026-03-14,2026-03-15,"全道 スポーツ
釧路ソフトテニス大会
釧路ソフトテニス協会
電話：090-8709-7989
参集人員: 最新: 475人",ウインドヒル釧路スーパーアリーナ,No
"2026全日本ジュニアスキー選手権大会
兼 セコマカップ阿寒スラローム大会",2026-03-25,,"国際 スポーツ
（公財）全日本スキー連盟
阿寒湖温泉冬季スポーツ大会実行委員会事務局
電話：67-3200
参集人員: 最新: 230人
※仮日付（上旬=5日、中旬=15日、下旬=25日で設定）",国設阿寒湖畔スキー場,No
FIS公認 第15回ゴールドウィンカップ 阿寒SL大会,2026-03-25,,"国際 スポーツ
（公財）北海道スキー連盟
阿寒湖温泉冬季スポーツ大会実行委員会事務局
電話：67-3200
参集人員: 最新: 230人
※仮日付（上旬=5日、中旬=15日、下旬=25日で設定）",国設阿寒湖畔スキー場,No
北海道中小企業家同友会くしろ事務所（全道大会）,2025年9月（予定）,,全道 総会・大会,,No
